title,excerpt,source,date,query,start_period,end_period,region
Semiconductor R&D to nudge higher through 2024,"While consolidation in the semiconductor industry contributed to lower 
growth rates in R&D spending in the past five years, the long-term trend 
has been for a ...",Evertiq,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Apple revives relationship with Imagination Technologies, the UK chip 
designer it ditched in 2017","The semiconductor company previously designed GPUs, which are graphics 
chips, for Apple's iPhones and iPads, but Apple decided to cut ties with 
the firm in ...",CNBC,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Forget trade deal, US-China tech war will define century, says new report","China imported more semiconductors than oil in 2018, with “China depending 
... However, given that the most advanced Chinese producers of 
semiconductor ...",South China Morning Post,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Better Buy: NXP Semiconductors vs. Texas Instruments,"Investors with an interest in the semiconductor industry often find 
themselves weighing Texas Instruments (NASDAQ:TXN) against NXP 
Semiconductors ...",The Motley Fool,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Cypress Reports Fourth Quarter and Year End 2019 Results,"BUSINESS WIRE)--Cypress Semiconductor Corporation (NASDAQ: CY) today 
announced its fourth quarter and fiscal year 2019 results with the 
following highlights ...",Business Wire,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Epitaxy equipment market to grow from $940m to over $6bn ...,"From a technical point of view, metal-organic chemical vapor deposition 
(MOCVD) serves most of the III-V compound semiconductor epitaxy industry, 
such as ...",Semiconductor Today,24 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Here's How KLA's Shares Doubled in 2019,"The semiconductor equipment formerly known as KLA-Tencor crushed Wall 
Street's ... The maker of testing tools used in the process of making 
semiconductors ...",The Motley Fool,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
SK Hynix operating profit falls 87% in 2019,"The semiconductor company also saw a revenue of 27 trillion won, a drop of 
33% from 2018. Margin rate also dropped to 10% from its record high of 52% 
last year.",ZDNet,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Diodes semiconductor plant wins £13.7 funding boost,"Semiconductor manufacturer Diodes Incorporated has received £13.7 million 
in funding from Scottish Enterprise to help future growth at its plant in 
Greenock ...",Scottish Business Insider,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
3 “Strong Buy” Stocks for the 5G Revolution in 2020,"Investors in Tower Semiconductor stock can expect to see ""low double-digit"" 
organic growth in 2020, says Needham analyst Rajvindra Gill. And while that 
may not ...",Nasdaq,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung factory likely suffers millions in losses due to a blackout,"Absolutely nothing can be allowed to go wrong at a semiconductor 
manufacturing plant. The manufacturing process for these chips requires 
exceptional care ...",SamMobile,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
How Does Samsung Make Money?,"Semiconductor Revenues grew from about $38 billion in 2015 to $73 billion 
in 2018, driven by strong DRAM and NAND pricing, they are likely to decline 
to under ...",Forbes,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Korea’s December industrial production picks up,"Indeed, the imputed semiconductor figures, although positive, were some of 
the more moderate growth figures in their list. Broad-based is good news 
too, ...",ING Think,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Dialog Semiconductor reports preliminary Q4 revenue,"Dialog Semiconductor (OTCPK:DLGNF +3.9%) expects Q4 revenue of $381M (prior 
$350M - $390M) vs. a consensus of $373.13M. Cash and cash equivalents at 
$1.025B ...",Seeking Alpha,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Kioxia takeout gets cool response,"Lenders see Kioxia as a riskier proposition given the sluggish performance 
of the semiconductor industry. Kioxia lifted sales and narrowed losses in 
the ...",Reuters,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
TSMC Hires Ex-Intel Lobbyist to Deal With U.S.-China Tensions,"Taiwan Semiconductor Manufacturing Co., a major chipmaker to Apple Inc. and 
Huawei Technologies Co., has recruited rival Intel Corp.'s former top 
lobbyist ...",Bloomberg.com,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
DARPA hopes to form quantum computing consortium,"Formed back in 1987 as a way to compete with Japanese technology giants, 
the Semiconductor Manufacturing Technology consortium was given $500m (over 
$1bn in ...",Data Center Dynamics,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"iShares PHLX Semiconductor ETF Is Expensive, But Long-Term Growth Outlook 
Appears To Be Favorable","Semiconductor components are essential electronic components that consumers 
need in everyday lives. The industry is set to continue to grow at a fast 
pace, ...",Seeking Alpha,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Makes the First 3nm GAAFET Semiconductor!,"According to the report, Samsung's goal is to become the world's number one 
semiconductor manufacturer by 2030. Samsung has succeeded in making a 
prototype of ...",Wccftech,4 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Galaxy Fold's bendable screen is still flawed. Is diamond glass the 
solution?","Akhan Semiconductor isn't the only company working toward a stronger 
material for foldable phones. Gorilla Glass-maker Corning showed CNET glass 
that's thin ...",CNET,22 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
EETimes - China Maintains Chip Output in Wake of Virus ...,"Semiconductor production, energy, chemical, steel and other basic sectors 
don't cease operations in the event of holidays or an epidemic.",EE Times,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
New Report: China's Memory Ambitions,"“China found that its semiconductor imports exceeded even its petroleum 
imports, motivating this cash-rich nation to seek self-sufficiency,” said 
Jim Handy, ...",Electronic Design,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Silanna Semiconductor's Active Clamp Flyback Controllers ...,"Silanna Semiconductor's Active Clamp Flyback Controllers Combine Four ACF 
Subsystems · The SZ1101 (33W) and SZ1105 (65W) incorporate four key ACF 
subsystems to ...",All About Circuits,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Intel recaptures title of world's largest semiconductor vendor by revenue,"In brief: Worldwide semiconductor revenue dipped significantly in 2019 due 
to the global downturn in the memory market. As a result, Intel was able to 
slide ...",TechSpot,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
2D and 3D combo could keep Moore's Law going,"“Thickness scaling of common semiconductor materials, such as Si, ... the 
2D semiconductors exhibit reasonably high mobilities and immunity against 
surface ...",GCN,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Apple Boosts Chip Orders From Main Foundry Supplier TSMC,"Data source: Taiwan Semiconductor. Chart by author. Figures shown in New 
Taiwan dollars. The iPhone 11, which is more affordable and has fewer bells 
and ...",The Motley Fool,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Chicken Droppings Can Make Graphene More Catalytic,"AerospaceArtificial IntelligenceBiomedicalComputingConsumer 
ElectronicsEnergyHistory of 
TechnologyRoboticsSemiconductorsSensorsTelecommunications ...",IEEE Spectrum,27 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Why Samsung Plans To Double Down On The $170 Billion ...,"On the other hand, the logic chip and foundry space could enable the 
company to post more stable semiconductor revenues and profits. In this 
analysis, we take a ...",Trefis,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Marvell Shows Off ‘The New Marvell’ At Its First Industry Analyst Event,"Few end customers allow semiconductor companies to say they are inside, but 
Marvell disclosed a few, big wins: · Samsung: the company has a 
longstanding and ...",Forbes,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Amtech exits solar, names new CEO","... its Tempress solar business, thus exiting the photovoltaic (PV) segment 
and putting a clear focus on the semiconductor and silicon carbide 
businesses.",Renewables Now,29 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
ST readies for SiC take-off - News,"Compound Semiconductor would like to notify you of new and interesting 
articles! Don't Allow. Allow.",Compound Semiconductor,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
The Great U.S.-China Tech Divide,"China is hastening to make semiconductors and consumer electronics without 
... Semiconductor manufacturers, in particular, have a lot to lose in the 
dust-up ...",Wall Street Journal,20 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Big Growth Areas: Connectivity, AI, Reliability","“Semiconductor and equipment vendors have been introducing a range of chips 
and equipment for WiFi 6,” says Jo Jones, technology communications manager 
for ...",Semiconductor Engineering,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
ASML is too convenient a target for the US – Bits&Chips,"ASML shouldn't be singled out as the only semiconductor company to be 
restricted. If the US wants to cut off China, at the very least, ban 
American ...",Bits-chips,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Stable lithium could lead to new class of neutron detectors,"“People have imagined semiconductor neutron detectors for a long time,” ... 
“Or you can find stable lithium compounds that are not good semiconductors.",The Engineer,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Advantest to Showcase Semiconductor Test Solutions for 5G ...,"Leading semiconductor test equipment supplier Advantest Corporation will 
feature its newest test solutions for advanced ICs at SEMICON Korea on 
February 5-7 ...",AiThority.com,17 Jun 2020,semiconductor,1/1/2020,1/31/2020,GB
Addressing Risk in the Era of US-China “Great Power ...,"According to a report by C4ADS, CSR Corporation's (now China Railway 
Rolling Stock Corporation, or CRRC) acquisition of UK-based Dynex 
Semiconductor facilitated ...",China Business Review,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Chip market declined 12% in 2019, says Gartner","Top 10 Semiconductor Vendors by Revenue, Worldwide, 2019 (Millions of U.S. 
Dollars). Source: Gartner. As a result Intel's semiconductor revenue 
declined 0.7 ...",eeNews Europe,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Patterned sapphire silica substrate for ultraviolet light-emitting ...,"Semiconductor Today Logo ... Mike Cooke is a freelance technology 
journalist who has worked in the semiconductor and advanced technology 
sectors since 1997.",Semiconductor Today,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Chip Market Rebounds in 2020 as Economic Woes Linger,"The global semiconductor market is expected to rebound this year by as much 
as 7.9 percent, but the ghosts of 2019 haven't vanished.",EPS NEWS,29 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
CyberOptics Introduces New In-Line Particle Sensor™ (IPS ...,"Process and equipment engineers in semiconductor fabs can speed equipment 
qualification with real-time, 24-7 monitoring, compare past and present 
data, as well ...",Business Wire,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Micron Stock Is Jumping After an Upgrade Tied to 5G Phone Memory Demand,"The chip maker is a leader in the DRAM and NAND semiconductor markets. 
DRAM, or dynamic random-access memory, is used in desktop computers, mobile 
phones ...",Barron's,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Top 3 ETFs For Investing In Asia,"Taiwan Semiconductor Manufacturing; Public Bank. Next is the iShares MSCI 
All Country Asia ex Japan ETF (AAXJ). This is an Asia focused ETF providing 
exposure ...",Nasdaq,24 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Is Himax Technologies Stock a Buy?,"Himax Technologies (NASDAQ:HIMX) is a fabless semiconductor solutions 
provider. The company is a worldwide market leader in display driver ICs 
(integrated ...",The Motley Fool,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Want to invest in electric vehicles? Start with their parts,"When it comes to EV investing, there are pure plays like electric-vehicle 
maker Tesla (TSLA). But there are also opportunities to invest in 
semiconductor makers ...",USA Today,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Schilling Engineering reveals contract win with Plansee,"Components for semiconductor production are manufactured in the 400 sqm 
CleanCell4.0 of ISO Class 6. A new 400 sqm ISO Class 6 cleanroom has 
started ...",Cleanroom Technology,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
AI Chip Market Is Booming,"AI processors are reinvigorating the global semiconductor industry, 
prompting at least one market tracker to predict a three-fold increase in 
AI chip ...",HPCwire,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"After Dropping In 2019, Can Texas Instruments’ Revenue Cross $15 Billion By 
2021?","Texas Instruments' Analog Semiconductors division, which sells analog ... 
This segment includes revenue from TI's smaller semiconductor product lines 
and ...",Forbes,28 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Entegris acquires CMP slurry firm Sinmat - News,"The leading global compound semiconductor conference and exhibition will 
once again bring together key players from across the value chain for 
two-days of ...",Compound Semiconductor,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Imec shows Scalable III-V and III-N Devices on Silicon - News,"Compound Semiconductor would like to notify you of new and interesting 
articles! Don't Allow. Allow. This website requires JavaScript.",Compound Semiconductor,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Synthetic Biology Market is Expected to Reach $19.58 Billion ...,"Semiconductor sequencing is a type of next generation sequencing that 
enables reading DNA sequences electronically. For example, in 2014, DNA 
Electronics Ltd ( ...",PR Newswire,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Top Tech Trends To Watch In 2020,"Two new semiconductor technologies are driving change in the electric 
vehicle battery market. Historically, EV batteries have been costly, large 
and ...",Forbes,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Nitride Semi Wins Patent Lawsuit against RayVio - News,"Nitride Semiconductor, a Japanese UV-LED firm, has won a patent 
infringement lawsuit against RayVio Corporation, a California UV-LED 
company.",Compound Semiconductor,27 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Singapore beat expectations, attracted $15.2b of investments ...","This was driven by large manufacturing investments from semiconductor as 
well as energy and chemical companies, the Economic Development Board (EDB) 
shared ...",The Straits Times,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Silicon Mobility Names Rainer Kallenbach as CEO,"... utilizing its OLEA Field Programmable Control Unit semiconductors, ... 
an automotive semiconductor control solution with the potential of 
extending up ...",Business Wire,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"The next iPhone will have an advanced camera that can scan 3-D objects, 
Barclays says","Barclays semiconductor analysts said on Thursday that Apple's new iPhones 
will have a new FaceID sensor, which is used for facial recognition.",CNBC,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Intel delivers a strong Q4 in spite of challenges,"The semiconductor giant continues to face production challenges and renewed 
competition, but it fared better than expected in 2019 and foresees a 
strong ...",ZDNet,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Making 3D Structures And Packages More Reliable,"“Non-contact and non-destructive optical imaging always has been very 
important for inspection of semiconductor processes. However, with many 
advanced ...",Semiconductor Engineering,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Electronics Announces Fourth Quarter and FY 2019 ...,"The Semiconductor businesses posted KRW 16.79 trillion in consolidated 
revenue and KRW 3.45 trillion in operating profit in the fourth quarter. 
The Memory ...",Samsung Newsroom,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
TSMC Posts Record 2019 on Bigger Demand for Chips,"Taiwan Semiconductor Manufacturing Company (TSMC) (NYSE:TSM 115.7 -0.25%) 
reported a 15% increase in monthly revenues between November and December 
2019 and ...",Wccftech,11 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Report: Global IoT chip market likely to grow to $38.61 billion ...,"Gartner's report from July had already predicted a worldwide decline in 
semiconductor revenue in 2019 – albeit the forecast figure was at 9.6% from 
2018.",IoT Tech News,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Low-Power FD-SOI FPGA Melds AI and Bridging,"Need to go beyond just bridging between devices? Lattice Semiconductor's 
CrossLink-NX could very well be the solution.",Electronic Design,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Broadcom Wins Contracts to Supply Wireless Components to ...,"Semiconductor analyst Harlan Sur estimated that Apple would buy about $10 
worth of Broadcom parts per iPhone in 2018. Broadcom sells Bluetooth and 
WiFi chips ...",Electronic Design,25 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Election Security At The Chip Level,"The obvious comparison for voting machines would be ATM machines, but not 
necessarily, argue a number of experts interviewed by Semiconductor 
Engineering.",Semiconductor Engineering,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
RoboSense announces world's first test of vehicle equipped ...,"Wade Appelman, Vice President of ISG, SensL Division, ON Semiconductor, 
said, “The combo of RoboSense LiDAR with the ON Semiconductor RD Series 
SiPM family ...",Geospatial World,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Moore's Law, Supply Chains And Security","All across the semiconductor industry, significant changes are underway. 
... in crucial technology, not only in semiconductors, but also in EDA 
software.",Semiconductor Engineering,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Pioneers 5G-Based Mobility with Launch of Digital ...,"... semiconductors and displays with HARMAN's automotive expertise. ... a 
semiconductor for vehicle electronics, and Android 10, which allow for 
several ...",Samsung Newsroom,11 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Worst is over for KESM — CEO,"Commenting on prospects for the automotive semiconductor industry, he said 
much depends on how fast the growth of change, in particular the 5G 
network, ...",The Edge Markets,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Electronics now No. 2 in chip sales,"1 semiconductor maker, with Intel taking the lead in 2019. The change in 
the rankings is largely due to the downturn in the memory market.",Korea JoongAng Daily,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Inside Samsung's Silicon Valley Office - Samsung US ...,"Media Contact. Strategy & Innovation Center and Samsung Catalyst Fund. 
ssic.communications@ssi.samsung.com. Semiconductors, Display Panels and LED 
Solutions.",Samsung Newsroom,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Renesas' Power Management IC Adopted in Google Coral AI ...,"Renesas Electronics Corporation, a premier supplier of advanced 
semiconductor solutions, announced its ISL91301B Power Management IC (PMIC) 
is designed into ...",EE Times Asia,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Kneron raises $40 million to grow edge AI chip design operations,"The funding will be used to grow algorithms made specifically for on-device 
machine learning and semiconductor design operations. Kneron released the 
KL520, ...",VentureBeat,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
324 % Kursanstieg in 7 Jahren - Ist Taiwan Semiconductor ...,"Taiwan Semiconductor Manufacturing (TSMC) stellt Computerchips her. Der 
Technologiekonzern aus Taiwan ist profitabel und wächst stetig.",Ecoreporter,22 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Nano-silicon samurai: Surface engineered sponges to clean ...,"In addition to being an important element in living organisms, silicon is 
by far the most widely used of all semiconductor materials.",Advanced Science News,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Qorvo and Skyworks could be eyeing Broadcom's RF chip ...,"Bloomberg reports that semiconductor companies Qorvo Inc. and Skyworks 
Solutions Inc. are looking into bids for San Jose-based Broadcom's RF 
wireless chip ...",The Business Journals,24 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Sector Of The Decade: Riding the tech bull and not falling off,"Closer to home, semiconductor and semiconductor-related companies listed on 
Bursa Malaysia have ridden the tech wave in the last 10 years. This is 
evident from ...",The Edge Markets,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung retains CEOs in annual reshuffle,"Three of Samsung's CEOs -- Kim Ki-nam, vice chairman and CEO of its 
semiconductor business; HS Kim, CEO of its consumer electronics business; 
and DJ Koh, ...",ZDNet,20 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
The Houston Astros cheating scandal shows how tech is upending baseball,"The semiconductor industry has an upbeat outlook for 2020, even after 
revenue shrunk last year, according to a KPMG survey of executives in the 
industry.",Fortune,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
GaN-on-silicon IP landscape is changing - News,"These included ON Semiconductor, Dialog, Navitas, VisIC. ... electronics 
applications,”says Remi Comyn, Compound Semiconductors and Electronics at 
KnowMade.",Compound Semiconductor,27 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"How Important Is Cost Of Sales To Micron’s Expenses And Overall 
Profitability?","Research & Development (R&D) Expenses increased from $1.82 billion in 2017 
to about $2.44 billion in 2019 due to continuous spending on advanced 
semiconductor ...",Forbes,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Dow jumps 300 points to start 2020, continuing last year's big rally","Semiconductor stocks are coming off a strong performance in 2019. The 
VanEck Vectors Semiconductor ETF (SMH) surged 62% in 2019, its best 
one-year ...",CNBC,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Assuring Taiwan's Innovation Future,"All semiconductor firms at the time were vertically integrated, with both 
chip design and manufacturing conducted in-house. The foundry model proved 
to be a ...",Carnegie Endowment for International Peace,29 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Inside Samsung's 5G Factory for AT&T,"""Semiconductor facilities are inherently complex and automated,"" said Derek 
Johnston, head of marketing at Samsung Networks. He described the 
company's ...",Light Reading,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
'Green methane' from artificial photosynthesis could recycle CO2,"An electron microscope image shows the semiconductor nanowires. These 
deliver electrons to metal nanoparticles, which turn carbon dioxide and 
water into ...",University of Michigan News,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
China is slowly moving up the microprocessing value chain,"Selling equipment to industry giants like Applied Materials in America 
makes it a small success for the semiconductor supply chain. Much of the 
rest of the ...",The Economist,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Is This The Year Of The Chiplet?,"Why this approach will have deep and lasting effects for the entire 
semiconductor industry. January 23rd, 2020 - By: Ed Sperling. popularity. 
Customizing chips ...",Semiconductor Engineering,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Parsing the Economic Damage From the Japan-South Korea ...,"South Korea's inability to acquire key chemicals vital for the production 
of semiconductors would not only damage the country's semiconductor 
industry, but also ...",The Diplomat,24 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Japan logs trade deficit for second year amid weak demand ...,"Overall shipments of semiconductor-making equipment rose 25.8 percent, much 
better than the average double-digit declines of April-September.",The Japan Times,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Qualcomm announces chips for self-driving cars that could be in cars by 2023,"... still pursuing the market after its bid to buy NXP Semiconductors, a 
leading car chip maker, fell through in 2018 because of regulatory 
difficulties.",CNBC,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Apple lawsuit tests if an employee can plan rival startup while on payroll,"That stance allowed for the “traitorous eight” who left their jobs at 
Shockley Semiconductor Laboratory for a rival in the late 1950s and who 
eventually ...",Reuters,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Vision 2020: Cleanroom experts reveal expectations for the ...,"In Korea, for example, SK Hynix is building four new semiconductor 
fabrication plants at a technology cluster in Seoul. Construction work on 
the 53,000 sqm ...",Cleanroom Technology,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Atomically Precise Manufacturing Nanotech Meets The Semi ...,"Image a reality where molecular robots manufacture precise atomic 
structures to help cure cancer and change the course of semiconductor 
fabrication.",designnews.com,28 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Understanding OLED, QLED, Mini-LED, MicroLED — Don't be ...","LED originate from an electronic semiconductor component that emits light 
when current is passed through it. This works on the principles of ...",Medium,19 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
LayTec's EpiTT FaceT chosen by high-power laser maker for ...,"Disclaimer: Material published within Semiconductor Today and related media 
does not necessarily reflect the views of the publisher or staff. Juno 
Publishing ...",Semiconductor Today,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Bosch, Lightspeed China lead $173m funding in 3D-sensor ...","ON Semiconductor, Qiming Venture Partners, Detong Capital and Axiom Asia 
Private Capital also participated in the funding round. Hesai claims the 
Series C ...",DealStreetAsia,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"New Technique to Quickly and Sensitively Characterize Defects in 2D 
Materials","The semiconductor industry exhibits interest in employing 2D materials to 
further decrease the size of electronic devices and to reduce energy 
consumption.",Azonano,28 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
ST's First LoRa SoC for Connecting Smart Devices,"... smart industry and smart living, STMicroelectronics (NYSE: STM), a 
global semiconductor leader serving customers across the spectrum of 
electronics ...",EE Times Asia,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Apple A14 Chip for 2020 iPhone Models Set to Go in Production in Q2: Report,"Apple chipmaker Taiwan Semiconductor Manufacturing Company (TSMC) has 
secured orders for the ""A14"" processors and it is expected to start 
manufacturing the ...",NDTV Gadgets 360,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Explained: Gallium Nitride (GaN) And How It's On Its Way To Replace Silicon,"For starters, gallium nitride is a chemical compound that has semiconductor 
properties. If you know a thing or two about tech, you must've heard 
about ...",Mashable India,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Omni Design Joins TSMC IP Alliance Program,"Omni Design, founded in 2015 by semiconductor industry veterans, has an 
excellent track record of innovation and collaborating with customers to 
enable ...",Business Wire,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Accelerating AI And ML Applications With PCIe 5,"Rethinking how to improve performance and lower power in semiconductors. 
... Mark D LaPedus on Brazil Paves New Semiconductor Path; Mike Bartley on 
Brazil ...",Semiconductor Engineering,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Microsoft CEO Satya Nadella Says US-China Spat May Hurt Global Growth, 
Comments on India's Immigration St...","33,45,272 crores) semiconductor industry as an example of a sector that is 
already globally interconnected, Satya Nadella said the two countries will 
have to ...",NDTV Gadgets 360,22 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Building a Quantum Computer From Off-the-Shelf Parts,"“It's ironic after 50 years or so of trying to clean up semiconductors to 
... use them to make a trapped atom in a semiconductor,” says David 
Awschalom, ...",IEEE Spectrum,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Flexibility Is Key to Direct Imaging Success,"Hogan: Traditional semiconductor fabrication deploys steppers that 
reproduce ... to microelectronics and semiconductors, and the same is true 
the other way.",I-Connect007,28 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
US officials 'pressed' Dutch government over ASML sales to ...,"State-of-the-art semiconductor manufacturing equipment destined for China 
is yet to be shipped, after US government officials pressed their Dutch ...",Optics.org,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"TSMC to disclose its 3nm process details in April: key battle with Samsung 
begins","Samsung plans to invest $116 billion to build a semiconductor ecosystem by 
2030. Since it is behind TSMC at 7nm and 5nm nodes, Samsung bets on the 3nm 
node and ...",Gizchina.com,20 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Acquires Network Services Provider TeleWorld ...,"Samsung has demonstrated the power of 5G with end-to-end solutions from 
semiconductor, mobile phone and network infrastructure through U.S. 
initiatives such ...",Samsung Newsroom,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
A new facet for germanium,"Although silicon is the workhorse of the semiconductor industry, forming 
the basis for computer chips, camera sensors, and other everyday electronic 
devices ...",MIT News,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
3 Chip ETFs To Buy On Intel's Stellar Forecast,"The Direxion Daily Semiconductor Bull 3X Shares SOXL, +2.02% is a favorite 
of active traders looking to capitalize on short-term moves in 
semiconductor stocks.",MarketWatch,24 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
AMD claims new laptop chips outperform Intel,"Chip stocks have done well ahead of the widespread launch of fast 5G 
networks. The PHLX semiconductor index rose 60% in 2019, outperforming the 
S&P 500, while ...",CNBC,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
New LED from Osram enables ultra-slim designs for headlights,"Osram Opto Semiconductors was able to draw on its many years of expertise 
in ... Primarily focused on semiconductor -based technologies, our products 
are ...",LEDs Magazine,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
