title,excerpt,source,date
How Toyota kept making cars when the chips were down,"The unexpected spike in demand wasn't the only factor in the shortage: A 
series of unpredictable disasters also tangled the semiconductor supply ...",Fortune,02 Aug 2021
This Semiconductor Company Has A Better 1-Year Return ...,"This Semiconductor Company Has A Better 1-Year Return Than Amazon, Apple, 
Netflix And Microsoft. by Henry Khederian 1 min read.",Benzinga,14 Aug 2021
World’s semiconductor firms suffer poor week on bearish outlook,"Philadelphia Semiconductor Index on a six-day losing streak · Semiconductor 
stocks drag China down on Friday · KOSPI's worst week in six months.",Capital.com,14 Aug 2021
Semiconductor Equipment Manufacturer Plans Additional ...,"Semiconductor Equipment Manufacturer Plans Additional Hiring Growth in 
Chandler and Signs New Office Sublease. Open Audio Article Player. By ...",Signals AZ,11 Aug 2021
Inhibited nonradiative decay at all exciton densities in ...,"Even with the application of strain, the semiconductor remained ... The 
photophysics of these monolayer semiconductors as a function of Vg ...",Science,26 Jul 2021
Semiconductor crisis hits Maruti Suzuki; production partially impacted,"Automotive sector is not the biggest market for semiconductor makers, which 
is why supply was diverted to other areas.",Autocar India,09 Aug 2021
GM will cut truck production amid semiconductor shortage,"N) said Wednesday it will cut some truck production in North America 
because of the ongoing global semiconductor shortage.",Reuters,26 Jul 2021
"Fabs, Fabless and Indian Semiconductor Industry","While one can understand the frustrations of fabless semiconductor 
companies in getting predictable or preferential treatment by fabs, it 
is ...",Swarajya,26 Jul 2021
Tata Motors to redesign vehicles to reduce impact of semiconductor crisis,"Tata Motors to redesign vehicles to reduce impact of semiconductor crisis 
... crisis due to lack of supply of semiconductors in coming days.",Hindustan Times Auto News,26 Jul 2021
"Neo Semiconductor Claims It Can Deliver QLC Density, SLC ...","According to Neo Semiconductor, it's developed a method of building NAND 
that offers the performance of SLC and the density of QLC.",ExtremeTech,10 Aug 2021
"Semiconductor shortage will take 1-2 years to stabilize markets, Intel CEO 
says","The global shortage of semiconductors that has hobbled the auto industry 
and made some consumer electronics more expensive could last until ...",WRAL TechWire,26 Jul 2021
"Sale of semiconductor factory to Chinese-owned firm presents bigger UK risk 
than Huawei","Semiconductors allow electricity to flow through devices and are crucial 
components in medical equipment, smartphones, radios and TVs.",The Telegraph,26 Jul 2021
Tesla reveals its secret to surviving semiconductor shortages,"Tesla has been one company that has demonstrated an incredible response to 
the global semiconductor shortage, a challenge that has plagued ...",Teslarati.com,26 Jul 2021
US preps semiconductor factory plans amid shortage: EXCLUSIVE,"... semiconductor chip factories in the U.S. within 18 months of the date 
that Biden signs the Innovation and Competition Act into law.",Fox Business,26 Jul 2021
Intel Drops A Bomb On The Semiconductor Industry,"Investment Thesis. Moore's Law is the bread and butter of the semiconductor 
industry: a final silicon chip can only ever be as good as the ...",Seeking Alpha,26 Jul 2021
NXP Semiconductors NV (NXPI) Q2 2021 Earnings Call Transcript,"Welcome to the NXP Semiconductor's second quarter 2021 earnings call. With 
me on the call today is Kurt Sievers, NXP's President and CEO; ...",The Motley Fool,02 Aug 2021
Semiconductor Supply Shortages To Ease In 2-3 Quarters: Report,"Semiconductors in particular and electronics in general are the few 
remaining areas of localization in the Indian Automotive supply chain. 
With ...",Goodreturns,26 Jul 2021
Semiconductor supply company moving to larger space in Chandler,"PHOENIX – A company based in the Netherlands that supplies products and 
support to semiconductor manufacturers is increasing its presence in ...",KTAR News,26 Jul 2021
"State of Texas: Lawmakers seek solutions for semiconductor shortages to 
improve national security","AUSTIN (Nexstar) — America needs to think differently when it comes to 
boosting manufacturing of semiconductor chips, according to one Texas ...",KXAN Austin,26 Jul 2021
Everything you need to know about the global semiconductor shortage,"Beyond consumer electronics, the tight supply has begun to impact China's 
giant home appliance manufacturing sector. Topic | Semiconductors.",South China Morning Post,12 May 2021
IBM Chips In To Drive 2 Nanometer Semiconductor Manufacturing,"First, the company continued to do fundamental research in semiconductor 
technologies at its facilities in New York, usually in conjunction ...",The Next Platform,6 May 2021
Commentary: There is a global semiconductor famine and it ...,"Semiconductors, responsible for microchips that power everything from 
computers to cars has been hit with a global shortage thanks to the ...",CNA,9 Mar 2021
Why US-China Rivalry Might Be Good for Singapore's ...,"Chartered Semiconductor was meant to help turn Singapore into a global 
manufacturing hub for semiconductors and computer components and for a ...",The Diplomat,17 Jul 2021
Semiconductor cycle out of balance after customers stock up,"In an industry as cyclical as semiconductors, there is always either too 
much or too little supply. For the companies that design and use ...",Financial Times,15 Feb 2021
Will The US Let The Chips Fall On Semiconductor Policy?,"There is bipartisan, bicameral support in Congress for the Creating Helpful 
Incentives to Produce Semiconductors for America Act (CHIPS for ...",Forbes,31 May 2021
Stocks That Benefit As U.S. Reshores Semiconductor Production,"Moreover, demand for semiconductor fabrication equipment is also likely to 
grow, as the U.S. government has been taking steps to protect its ...",Forbes,17 Jul 2021
South Korea to spend $451 billion on becoming a ...,"“The entire semiconductor industry is facing a watershed moment and now is 
the time to chart out a plan for long-term strategy and investment,” ...",Data Center Dynamics,14 May 2021
The EU must play a long game for semiconductor success,"Sign up to myFT Daily Digest to be the first to know about Semiconductors 
news. The writer is chief executive of Intel. Technology has never ...",Financial Times,28 Apr 2021
Fire destroys 5% of Renesas semiconductor cleanroom,"Renesas Electronics Corporation, one of the world's largest semiconductor 
manufacturers, has reported the occurrence of a fire on 19 March ...",Cleanroom Technology,24 Mar 2021
Why semiconductors are as scarce as gold,"Chips production starts with wafers. A wafer (slice of semiconductor) acts 
as a substrate for microelectronic devices. Many so-called integrated ...",ING Think,8 Apr 2021
Japan puts all chips on the table to lure semiconductor makers,"TOKYO -- Japan will pull out every policy stop to court overseas 
semiconductor companies, including offering generous financial 
incentives, ...",Nikkei Asia,3 Jun 2021
How the world ran out of semiconductors,"There's a global shortage in semiconductors, and it's becoming increasingly 
serious. The US is currently reviewing its supply of the ...",The Conversation,5 Mar 2021
New Chinese chip firms have tripled in 2021 amid self-sufficiency push,"As China pursues self-sufficiency in semiconductors, Washington is seeking 
to counter Beijing with a new bill funding domestic fabrication.",South China Morning Post,9 Jun 2021
China chases semiconductor self-sufficiency,"Huawei's Kirin chipsets are made by Taiwan Semiconductor Manufacturing 
Company (TSMC) using US technology and equipment. The technological gap ...",East Asia Forum,22 Feb 2021
Is the world too dependent on Asia’s semiconductor industry?,"The Asia Pacific is also the world's biggest market for semiconductors, 
accounting for 60% of global semiconductor sales, with China alone ...",Tech Wire Asia,26 Mar 2021
China Turns Semiconductors Into The ‘New Oil’ While GM Runs Out Of Chips,"China Turns Semiconductors Into The 'New Oil' While GM Runs Out Of Chips · 
China International Semiconductor Expo. Visitors look at 5G chips at ...",Forbes,7 Feb 2021
China’s semiconductor output hits all-time high amid global shortage,"China's semiconductor output in May hits all-time high amid chip shortage 
and tech war with US. China's IC output in May surged 37.6 per cent ...",South China Morning Post,16 Jun 2021
"U.S. chipmaker invests $4 billion in Singapore, even as Congress tries to 
lure manufacturers home","“GlobalFoundries is meeting the challenge of the global semiconductor 
shortage by accelerating our investments around the world,” CEO Tom ...",Fortune,17 Jul 2021
Boom quarter for top 10 semiconductor companies,"Samsung, with total growth of 25 per cent, is catching up on Intel which 
while the largest supplier was the only major semiconductor company to ...",eeNews Europe,25 May 2021
Envisioning the Indian Semiconductor Ecosystem to be at Par ...,"To dive deep into the semiconductor market of India and the growth 
prospects of setting up Fabless manufacturing units in India, ELE 
Times's ...",ELE Times,17 Jul 2021
China's progress in advanced semiconductor technology slows,"SHANGHAI -- China is facing delays in miniaturizing semiconductors. In a 
Nikkei survey, most of the seven major Chinese semiconductor ...",Nikkei Asia,9 May 2021
China’s universities rush to set up new semiconductor programmes,"China's Ministry of Education has made semiconductor science and 
engineering a priority academic programme; That has encouraged more ...",South China Morning Post,17 Jul 2021
China's semiconductor IP sector accelerates drive for self ...,"The semiconductor intellectual property (IP) sector in China is growing 
rapidly by the day, with tens of thousands of chip design companies ...",Global Times,19 May 2021
"US to lead world again, Biden tells CEOs at semiconductor ...","Heads of 19 companies, including Taiwan Semiconductor Manufacturing Co., 
Samsung's Device Solutions Division, Intel, Medtronic and Micron, are ...",Nikkei Asia,13 Apr 2021
Why semiconductors are important in the US-China tech war,"A semiconductor is a substance that conducts electricity under some 
conditions but not others, making it a good medium to control electrical ...",South China Morning Post,29 Oct 2020
Lagging but motivated: The state of China's semiconductor ...,"Every year, China imports more than $300 billion of semiconductors, and 
most, though not all, major American semiconductor companies pull in at ...",Brookings Institution,7 Jan 2021
Why We're in the Midst of a Global Semiconductor Shortage ...,"Business and financial media have detailed how the shortage of 
semiconductors has caused production cutbacks in the automotive industry: 
Ford, ...",Harvard Business Review,26 Feb 2021
Japan Seeks to Revive Stalled Semiconductor Industry ...,"Both nations have launched aggressive funding measures to revive their 
local semiconductor industries. And if Japan refuses to invest due to 
its ...",Supply Chain Digital,17 Jul 2021
Semiconductors and the Indian Predicament,"According to the India Electronics and Semiconductor Association (IESA), 
semiconductors in India were consumed worth US$21 billion in 2019, ...",ELE Times,17 Jul 2021
Rising Revenues And Margins Could Drive ON Semiconductor Stock To $45,"Up around 3.5x from its low in March 2020, at the current price of $38 per 
share, we believe ON Semiconductor stock (NASDAQ: ON) has further ...",Forbes,7 Jun 2021
Semiconductor equipment sales to hit US$100bn,"The global semiconductor equipment market is forecast to expand to a 
record-high US$100 billion next year, up 4.93 percent from US$95.3 
billion ...",Taipei Times,17 Jul 2021
Why the semiconductor shortage won't end soon | Penn Today,"Morris A. Cohen of the Wharton School explains the impact of the shortage 
of semiconductors that is currently affecting economies around the ...",Penn Today,19 Mar 2021
"Semiconductors: Chinese takeover of UK's leading chipmaker doesn't need a 
security review – here's why","Chinese state-backed conglomerate Wingtech Technology is taking full 
control of the UK's largest semiconductor foundry, Newport Wafer Fab ...",The Conversation,17 Jul 2021
"Governments are deploying 'wartime-like' efforts to win the global 
semiconductor race","These clever semiconductors make our internet-connected world go round. ... 
Through the so-called “K-Semiconductor Strategy,” the South ...",CNBC,17 May 2021
U.K. Sold Off $42 Billion of Semiconductor Firms Before Review,"The U.K. was once the leading semiconductor innovator in Europe, producing 
the likes of Arm Ltd., whose technology is found in 90% of all ...",Bloomberg.com,17 Jul 2021
Taiwan pledges to boost semiconductor supply to Europe ...,"Taiwan's high-tech chip manufacturing plants are among the largest and most 
advanced in the world, with the Taiwan Semiconductor Manufacturing ...",The Straits Times,11 May 2021
"US, China to set up working group to ease tension in global chips industry","to ease a global shortage of chips, a move that could help Chinese firms, 
from Huawei Technologies to Shanghai-based Semiconductor ...",South China Morning Post,11 Mar 2021
China’s semiconductor output hits record in June with support from Beijing,"China's semiconductor output hits record high as Beijing boosts local 
production amid intensifying US-China tech war · China's integrated 
circuit ...",South China Morning Post,17 Jul 2021
15 Biggest Semiconductor Companies in the World,"Semiconductors may be pure elements, such as silicon or germanium, or 
compounds such as gallium arsenide or cadmium selenide. Semiconductors 
are ...",Yahoo Finance,6 Jan 2021
Chinese-owned firm acquires UK’s largest semiconductor manufacturer,"The UK's largest producer of semiconductors has been acquired by the 
Chinese-owned manufacturer Nexperia, prompting a senior Tory MP to call ...",The Guardian,17 Jul 2021
Could the Geopolitical Climate Hamper the Semiconductor ...,"While historically China has been an important supplier in the chip 
industry, increasing U.S.-China tensions threaten the semiconductor 
supply ...",IoT World Today,15 Jun 2021
China to waive import taxes for semiconductor companies until 2030,"Chinese chip makers, including top player Semiconductor Manufacturing 
International Corporation (SMIC), rely heavily on foreign technologies.",South China Morning Post,30 Mar 2021
The World Is Dangerously Dependent on Taiwan for ...,"That's mostly down to Taiwan Semiconductor Manufacturing Co., ... it was 
able to cut off the supply of semiconductors from TSMC and other ...",Bloomberg.com,25 Jan 2021
Q&A: Electronics and Semiconductor Industry in Vietnam,"Businesses investing in the semiconductor industry are eligible for 
preferential incentives such as zero percent corporate income tax for 
the ...",Vietnam Briefing,17 Jul 2021
Breakthrough in chips materials could push back the ‘end’ of Moore’s Law,"US-China tech war: TSMC helps make breakthrough in semiconductor ... of 
semiconductors in a race to own a key piece future technology.",South China Morning Post,19 May 2021
"Semiconductor investment frenzy ramps up in Asia amid chip shortages, tech 
war","This came days after it was reported by Nikkei Asia that Taiwan 
Semiconductor Manufacturing Co (TSMC), the world's largest contract chip 
maker, ...",South China Morning Post,17 Jul 2021
China's semiconductor revolution: From crisis to self-sufficiency,"We spoke to Hui He, Associate Director and Head of China Semiconductor 
Research at Omdia, about the severity of the ongoing semiconductor 
supply ...",Total Telecom,15 Jun 2021
US senators propose 25per cent tax credit for semiconductor ...,"The tax credit could benefit Taiwan Semiconductor Manufacturing Co (TSMC) , 
which is building a US$12 billion semiconductor factory in Arizona, ...",CNA,18 Jun 2021
Chip tools become latest victim of global semiconductor crunch,"But you won't be able to get them -- because of the shortage of chips. This 
conundrum is the latest sign of how the global semiconductor supply ...",Nikkei Asia,15 Apr 2021
How Semiconductor Shortages Have Taken A Chip Out Of The Global Supply Chain,"While news reports on the semiconductor shortage has focused on the 
automotive industry, most consumer electronics and hi-tech companies will 
be ...",Forbes,17 Jul 2021
"Why the World Is Short of Computer Chips, and Why It Matters","... a similar cause: an abrupt and cascading shortage of semiconductors. 
... two Asian powerhouses — Taiwan Semiconductor Manufacturing Co.",Bloomberg.com,17 Feb 2021
"When the chips are down, can 007 save the semiconductor?","Some will argue that, after years of what has often been fairly incoherent 
US-China trade skirmishing, semiconductors provide the arena in which ...",Financial Times,25 Apr 2021
"SkyWater CEO: America Is Losing the War for Semiconductors to Asian 
Manufacturers. National Security Is at Risk.","About the author: Thomas Sonderman is president and CEO of SkyWater 
(ticker: SKYT), a U.S.-based semiconductor foundry.",Barron's,17 Jul 2021
"Why there's a chip shortage that's hurting everything from the PlayStation 
5 to the Chevy Malibu","Semiconductors are in short supply because of strong demand for 
electronics, shifting business models in the semiconductor world that 
created a ...",CNBC,10 Feb 2021
Investment outlook for semiconductors amid rising global chip ...,"Semiconductor companies may not be as headline-grabbing as their big tech 
counterparts such as Apple, Google and Facebook.",CNA,7 Apr 2021
What’s behind the semiconductor shortage and how long could it last?,"A global shortage of semiconductors has created serious anxiety in some 
industries and even caused automakers to halt production in several ...",Brookings Institution,24 May 2021
Biden administration sounds the alarm on the semiconductor crisis,"Semiconductors, or computer chips, act as the brains that power our 
technological devices. These chips, now smaller than a stamp and thinner ...",Fortune,17 Jul 2021
Production localization new focus for Shanghai semiconductor ...,"A global supply crunch and US sanctions on China's leading chipmakers have 
accelerated the localization of semiconductor industry, ...",Global Times,18 Mar 2021
S'pore semiconductor firms boost capacity amid global chip ...,"Singapore Semiconductor Industry Association (SSIA) executive director Ang 
Wee Seng told The Straits Times that the high demand is forecast to ...",The Straits Times,4 Jun 2021
"White House Sets First Steps on Semiconductor, Mineral ...","On the semiconductors front, the White House said the government is ... the 
private sector in domestic semiconductor manufacturing and R&D.",MeriTalk,8 Jun 2021
China’s chip makers bought more new gear in 2020 than any other country,"US-China tech war: China becomes world's top semiconductor equipment market 
as Beijing pushes local chip industry. Taiwan was the second-largest ...",South China Morning Post,15 Apr 2021
Qualcomm warns global chip shortages are spreading,"Qualcomm Inc, the world's largest smartphone chip maker, warned it is 
struggling to meet demand, signalling that a global semiconductor ...",South China Morning Post,4 Feb 2021
"China is buying up chip firms in a push for semiconductor supremacy, says 
UK lawmaker","LONDON — A U.K. lawmaker believes China is using questionable methods to 
ensure it becomes a world leader in semiconductor technology.",CNBC,17 Jul 2021
2021 will be a calmer year for semiconductors and chips ...,"2021 will be a calmer year for semiconductors and chips (except for Intel). 
4 trends to watch for from VC funding of silicon startups to US- ...",TechCrunch,28 Dec 2020
China’s small semiconductor companies get boost from Washington hostility,"With TSMC, ASML and Intel nowhere to be seen, China's small semiconductor 
players take centre stage at industry expo. Small Chinese companies ...",South China Morning Post,7 May 2021
Tencent makes foray into semiconductor chip business,"New postings for semiconductor chips development jobs on the official 
website of Tencent have sparked speculation that the Chinese tech ...",Global Times,17 Jul 2021
Global chip and semiconductor industry heavily reliant on Asia,"Asia's stronghold on the global semiconductor market has grown so strong 
that sanctions on China's chip production have become a source of ...",Consultancy.asia,19 Apr 2021
"Semiconductors are in short supply. 3 experts weigh in on what to do about 
it","Semiconductors power almost any smart device you own. They're small, 
complex, and powerful pieces of hardware that are integral to the ...",Fortune,17 Jul 2021
Why Businesses Are Still On A Semiconductor Waiting List,"A lot of companies currently are hung up because production of the 
semiconductors that make them go is at a slowdown.",Forbes,17 Jul 2021
Semiconductor Self-Sufficiency: MIIT's Ambitions for 2021 and ...,"Semiconductors are a critical element of all electronic devices, including 
those used within communications, healthcare, computing, ...",China Business Review,20 May 2021
Valens Semiconductor Expects Revenue To Sprint At 48%,"This comes to mind in considering 15 year old Valens Semiconductor — a Hod 
Hasharon, Israel-based company — that merged with a SPAC last ...",Forbes,17 Jul 2021
Simply throwing money may not fulfill Europe's semiconductor ...,"The EU now has just 10 percent of global semiconductor production capacity, 
far behind the US and Asian economies. As the COVID-19 pandemic ...",Global Times,7 May 2021
"EU Weighs Deal With TSMC, Samsung for Semiconductor ...","The European Union is considering building an advanced semiconductor 
factory in Europe in an attempt to avoid relying on the U.S. and Asia ...",Bloomberg.com,10 Feb 2021
Malaysian Tycoons’ UWC Profit Nearly Doubles Amid Global Semiconductor Boom,"“Semiconductor orders remain very strong,” UWC added in the ... able to 
meet the robust global demand for semiconductors and help ease the ...",Forbes,16 Jun 2021
US-Japan chip alliance won't contain China's rise: analysts,"The importance of the semiconductor supply chain has been highlighted 
recently as several major global vehicle brands announced production 
halts ...",Global Times,6 Apr 2021
"Chip giants are making more money than ever as the semiconductor shortage 
rages","Around 57% of the world's chip foundry revenues in the last quarter were 
generated by one Taiwanese chipmaker: Taiwan Semiconductor ...",CNBC,1 Jun 2021
Arizona Becomes US Semiconductor Central,"Motorola and other early semiconductor companies established Arizona as a 
leader in semiconductor design and manufacturing in the 1950s.",Forbes,23 Mar 2021
15 Best Semiconductor Stocks to Buy Now,"Semiconductor chips have a soaring demand in today's world as they are used 
in almost all the smart devices that we use.",Yahoo Finance,17 Jul 2021
Chip Shortage 2021: Semiconductors Are Hard to Make and ...,"Shortages of semiconductors are battering automakers and tech giants ... 
years to build semiconductor fabrication facilities and billions of ...",Bloomberg.com,5 May 2021
"China semiconductor imports declined in April from all-time high amid 
global supply constraints","... The global semiconductor market continues to see strong growth, but 
shortages are expected to persist throughout the year.",South China Morning Post,7 May 2021
China’s memory makers are becoming new disruptive force in sector,"Chinese memory chip makers could add downwards price pressure on suppliers 
in the memory chip sector. Topic | Semiconductors.",South China Morning Post,2 Jun 2021
"McCaul And Cotton Ask Raimondo To Tighten Controls On Semiconductor 
Manufacturing Equipment","... on U.S. Commerce Secretary Gina Raimondo to tighten restriction on the 
sale of semiconductor manufacturing equipment (SME) to China.",Forbes,28 Apr 2021
Who really stands to win from the semiconductor explosion?,"The global semiconductor market is a $440bn industry and continues to ... 
in the world, Taiwan Semiconductor Manufacturing Company (TSMC), ...",Citywire Selector,4 Mar 2021
"China must drive chip assembly, packaging innovations, experts say","The landmark US Innovation and Competition Act identifies China as a major 
rival to America's technological dominance. Topic | Semiconductors.",South China Morning Post,9 Jun 2021
"China will ‘vigorously support’ semiconductor industry, IT minister says","China will 'vigorously support' semiconductor industry, IT ministry head 
says, as country seeks self-sufficiency in chip-making. The head of the ...",South China Morning Post,1 Mar 2021
Chinese chip foundry SMIC seeks to retain top talent with huge stock bonus,"... US$3.7 million in shares in effort to retain semiconductor talent ... 
self-sufficiency in semiconductors, but US sanctions and a talent ...",South China Morning Post,17 Jul 2021
Chinese semiconductor industry is speeding up advanced ...,"Some Chinese companies have shifted its 14nm chipset orders from the market 
leader Taiwan Semiconductor Manufacturing Company (TSMC) to China's ...",Total Telecom,22 Apr 2021
"Why Is There a Chip Shortage? Covid-19, Surging Demand ...","It's also catapulted Taiwan Semiconductor Manufacturing Co. and Samsung ... 
Overall demand for semiconductors of all stripes—from basic ...",Bloomberg.com,28 Mar 2021
When the Chips Are Down: Policy Priorities for Sustaining US ...,"Yet making semiconductors is complex and expensive. The semiconductor 
industry is among the most capital intensive in the world. A new foundry ...",War on the Rocks,14 May 2021
"The semiconductor shortage is here to stay, but it will affect chip 
companies differently","Semiconductors in the age of COVID-19: Extreme demand spike will keep chips 
in short supply for the foreseeable future, but different types ...",MarketWatch,17 Apr 2021
"A global semiconductor shortage highlights a troubling trend: A small and 
shrinking number of the world's computer chips are made in the US","Semiconductors are the logic and memory chips used in computers, phones, 
vehicles and appliances. The U.S. share of global semiconductor ...",The Conversation,9 Mar 2021
How Will the Global Semiconductor Crunch Impact South ...,"Semiconductors are as ubiquitous as they are crucial to the modern economy 
and yet they are in short supply this year.",The Diplomat,1 Apr 2021
"Taiwan uses ‘geopolitical heft’ to boost China investment, despite tensions","Global demand for semiconductors used in everything from computers to cars 
is proving a boon to Taiwanese manufacturers, who are ramping up ...",South China Morning Post,12 May 2021
Controversial Wuhan semiconductor maker dismisses all staff ...,"Chinese controversial semiconductor maker Wuhan Hongxin Semiconductor 
Manufacturing Co (HSMC) has reportedly issued a noticed to dismiss all ...",Global Times,28 Feb 2021
"This semiconductor stock could determine the chipmakers' next move, 
strategist says","Semiconductor stocks sat out the tech rally this week, and one strategist 
said a single chipmaker could point to their next move.",CNBC,11 Jun 2021
Taiwan Semiconductor's Earnings Raise Doubts Over Outlook,"Taiwan Semiconductor Manufacturing Co. had good news and bad news for tech 
investors. The company reported second-quarter revenue that was a ...",Barron's,17 Jul 2021
Infineon (IFX:GR) Hits Targets Helped by 'Booming ...,"German semiconductor manufacturer Infineon Technologies AG said about 2.5 
million cars won't be produced in the first half of 2021 due to ...",Bloomberg.com,3 May 2021
The Semiconductor Industry’s Competitive Dilemma,"TSMC is not a leading edge semiconductor foundry monopoly yet. However, we 
are seeing a glimpse of what the world may look like if TSMC is the ...",Forbes,4 Mar 2021
The 10 Hottest Semiconductor Startups Of 2021 (So Far),"These startups are taking on semiconductor heavyweights like Intel and 
Nvidia with new kinds of silicon solutions for compute, ...",CRN,16 Jun 2021
Tough road ahead for U.S. firms trying to cut reliance on Taiwan chipmakers,"Asian countries produce more than 70% of global semiconductors — Taiwan and 
South ... Taiwan Semiconductor Manufacturing Company (TSMC), ...",CNBC,13 Apr 2021
"Micron CEO sees semiconductor growth as cars become 'data centers on 
wheels' and 5G rolls out","Micron Technology sees immense growth for semiconductors in 5G and electric 
vehicles, CEO Sanjay Mehrotra told CNBC on Thursday.",CNBC,17 Jul 2021
China wants disruptive chip tech to prepare for Moore’s Law demise,"China seeks to boost its domestic chip-making capability amid a protracted 
tech war with the US. Topic | Semiconductors.",South China Morning Post,15 May 2021
Why Trailing Edge Semiconductor Manufacturing Matters,"The need for processors on larger nodes is also constrained as most of the 
major semiconductor fabs have opted to invest in leading edge ...",Forbes,13 May 2021
Semiconductor firms struggling to meet demand for chips amid ...,"Major Singapore semiconductor firms say they won't make enough chips to 
meet demand until at least next year, despite almost all factories ...",CNA,27 Mar 2021
Why you should pay attention to China's semiconductor industry,"As part of its Made in China 2025 plan, China aims to produce 70 per cent 
of all the semiconductors it requires by 2025, with a longer term ...",The Business Times,5 May 2021
TSMC considering first chip packaging plant in US,"TAIPEI --Taiwan Semiconductor Manufacturing Co. is considering building ... 
to integrate different types of semiconductors onto wafers.",Nikkei Asia,11 Jun 2021
Senate approves billions for US semiconductor manufacturing,"The bill invests billions into emerging technology industries like 
artificial intelligence, semiconductors, and quantum computing in the US.",The Verge,8 Jun 2021
How Wuhan’s dream chip project became a nightmare,"China's semiconductors: How Wuhan's challenger to Chinese chip champion 
SMIC turned from dream to nightmare. Hopes that the HSMC facility could ...",South China Morning Post,20 Mar 2021
"The Biden administration is working to help address global semiconductor 
chip shortage","The White House has pledged to help address the ongoing global 
semiconductor shortage, with President Joe Biden said to be signing an ...",The Verge,11 Feb 2021
TSMC's Japan project attracts over 20 participant companies,"... Taiwan Semiconductor Manufacturing Co. to develop cutting-edge ... 
which vertically layers semiconductors -- and to do so in Japan.",Nikkei Asia,31 May 2021
Renesas says fire-hit chip plant to resume full production in May,"The shortage of semiconductors has squeezed global automakers' output. ... 
including Taiwan Semiconductor Manufacturing Co.",Nikkei Asia,19 Apr 2021
Investors rush into semiconductor stocks amid global chip ...,"TOKYO -- Semiconductor and related companies -- hobbled by supply chain 
problems and unable to keep up with a deluge of orders from the ...",Nikkei Asia,18 Jan 2021
10 Hottest Semiconductor Companies To Watch In 2021,"A look at some of the hottest chip startups and semiconductor giants in 
2021 that are making big, bold moves and shaping the future of IT ...",CRN,29 Mar 2021
"Transparency Is Critical as Semiconductor Industry Works to Meet Surging 
Demand","As the semiconductor industry grapples with surging demand, transparency 
into the supply chain is critical, according to Mike Splinter, chairman ...",Nasdaq,17 Jul 2021
Taiwan’s foundry king says mainland China is not yet a competitor,"Chang, who established Taiwan Semiconductor Manufacturing Co (TSMC) in 
1987, is seen as the father of Taiwan's success in the foundry ...",South China Morning Post,22 Apr 2021
TSMC joins US chip coalition in a potential blow to China,"The Semiconductors in America Coalition (SIAC), which includes 65 major 
players along the semiconductor value chain, announced its formation on ...",South China Morning Post,12 May 2021
Defense Magazine Semiconductor Shortage Shines Light On ...,"Semiconductors are the foundation of the advanced technologies that regular 
citizens and military officials rely on — from cell phones and ...",National Defense Magazine,21 May 2021
How the Number One U.S. Semiconductor Company Stumbled,"On this episode, we speak with Stacy Rasgon, a semiconductor analyst at 
Bernstein Research on Intel and the general state of U.S. high-tech ...",Bloomberg.com,30 Nov 2020
Taiwan drought at 'most critical' phase for chip sector,"Taichung has suffered the worst of a dry spell that has emerged as a threat 
to Taiwan's semiconductor device production.",Nikkei Asia,28 Apr 2021
"CEO of largest U.S. chip foundry explains why semiconductor shortage could 
last through 2022","A shortage of semiconductor microchips is causing havoc around the world. 
GlobalFoundries, the third-largest foundry, is planning to invest ...",CNBC,2 Apr 2021
Geopolitics and the push for 'made in the USA' semiconductors,"Authors: Robyn Klingler-Vidra, KCL and Yu-Ching Kuo, Kaohsiung. US and 
Taiwanese semiconductor powerhouses Intel and TSMC have both recently ...",East Asia Forum,19 May 2021
"Chips Designed By AI Are The Future Of Semiconductor Evolution Beyond 
Moore's Law","We are currently in the midst of a global semiconductor shortage that is 
negatively impacting the entire technology supply chain.",Forbes,25 May 2021
Why the current semiconductor shortage won’t be the last,"Why the semiconductor shortage hitting cars and smartphones won't be the 
last. The last big supply chain shock was 10 years ago when the ...",South China Morning Post,22 Mar 2021
China’s top chip maker quadruples salary for senior Taiwanese executive,"Semiconductor giant SMIC rewards senior Taiwanese executive with hefty 
compensation as China builds up chip sector's hi-tech talent pool. SMIC ...",South China Morning Post,7 Apr 2021
"Semiconductor wafer producer SK Siltron CSS to invest $300M in US to boost 
EV supply chain","Wafers 101. A wafer is a thin slice of semiconductor that's used to make 
integrated circuits, which essentially help make semiconductor chips ...",TechCrunch,17 Jul 2021
Will a Chip Czar Guarantee China Success? It's a Moon Shot,"Semiconductor Manufacturing International Corp., the nation's flagbearer in 
manufacturing, is still around six years behind global leaders ...",Bloomberg.com,17 Jun 2021
Semiconductor-starved mainland China fuelling surge in exports from Taiwan,"Semiconductor-starved mainland China seen driving long-term surge in 
exports from Taiwan. Global chip shortage – caused by a glut in 
pandemic- ...",South China Morning Post,23 Apr 2021
"Yes, the global microchip shortage is COVID's fault. No, it won ...","Semiconductors are an essential component of electronic devices, ... They 
harness the conducting properties of semiconductor materials (such ...",GCN,8 Jun 2021
Chip working group won’t ease tensions but a seen as good start,"... However, trade tensions in the semiconductor sector would not be eased 
any time soon amid US-China rivalry, say analysts.",South China Morning Post,13 Mar 2021
On Semiconductor LED driver ICs support smart and ...,"Recent LED driver IC launches from On Semiconductor offer robust circuit 
protection while enabling visible light communications (VLC) and other ...",LEDs Magazine,17 Jul 2021
